vskp-hwh
6058,11:55:00,12822,13:00:00,65
7438,08:45:00,12246,09:50:00,65
7438,08:45:00,22864,10:00:00,75
11019,04:15:00,12074,06:00:00,105
12659,06:05:00,12278,06:42:00,37
12659,06:05:00,22832,07:25:00,80
12659,06:05:00,22878,07:25:00,80
12846,11:10:00,12822,13:00:00,110
18464,20:50:00,12838,21:52:00,62
18507,06:50:00,22832,07:25:00,35
18507,06:50:00,22878,07:25:00,35
22611,07:20:00,22832,07:25:00,5
22611,07:20:00,22878,07:25:00,5
22613,11:25:00,12822,13:00:00,95
22641,06:05:00,12278,06:42:00,37
22641,06:05:00,22832,07:25:00,80
22641,06:05:00,22878,07:25:00,80
22810,06:50:00,22832,07:25:00,35
22810,06:50:00,22878,07:25:00,35
22852,11:25:00,12822,13:00:00,95
22872,09:35:00,12246,09:50:00,15
22872,09:35:00,22864,10:00:00,25
22880,09:35:00,12246,09:50:00,15
22880,09:35:00,22864,10:00:00,25
