Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
18645,HWH HYB EAST,37,VSKP,VISAKHAPATNA,03:45:00,04:05:00,884,HWH,HOWRAH JN.,HYB,HYDERABAD DECCAN
18646,HYB-HWH EAST,23,VSKP,VISAKHAPATNA,23:35:00,23:55:00,719,HYB,HYDERABAD DECCAN,HWH,HOWRAH JN.
20809,SBP-NED NAGA,12,VSKP,VISAKHAPATNA,20:25:00,20:45:00,505,SBP,SAMBALPUR JN.,NED,NANDED
20810,NED-SBP NAGA,11,VSKP,VISAKHAPATNA,10:10:00,10:30:00,978,NED,NANDED,SBP,SAMBALPUR JN.
20811,VSKP-NANDED,1,VSKP,VISAKHAPATNA,20:45:00,20:45:00,0,VSKP,VISAKHAPATNAM,NED,NANDED
20812,NANDED-VSKP,13,VSKP,VISAKHAPATNA,10:15:00,10:15:00,978,NED,NANDED,VSKP,VISAKHAPATNAM
20815,TATA-VSKP WE,24,VSKP,VISAKHAPATNA,04:30:00,04:30:00,862,TATA,TATANAGAR JN,VSKP,VISAKHAPATNAM
20816,VSKP-TATA WE,1,VSKP,VISAKHAPATNA,17:50:00,17:50:00,0,VSKP,VISAKHAPATNAM,TATA,TATANAGAR JN
20889,HWH BZA HUMS,6,VSKP,VISAKHAPATNA,02:10:00,02:30:00,884,HWH,HOWRAH JN.,BZA,VIJAYWADA JN.
20890,BZA HWH HUMS,3,VSKP,VISAKHAPATNA,05:10:00,05:30:00,350,BZA,VIJAYWADA JN.,HWH,HOWRAH JN.
22203,VSKP-SCAC DU,1,VSKP,VISAKHAPATNA,19:45:00,19:45:00,0,VSKP,VISAKHAPATNAM,SC,SECUNDERABAD JN.
22204,SC-VSKP AC,3,VSKP,VISAKHAPATNA,06:30:00,06:30:00,708,SC,SECUNDERABAD JN.,VSKP,VISAKHAPATNAM
22415,SUPERFAST AC,1,VSKP,VISAKHAPATNA,08:35:00,08:35:00,0,VSKP,VISAKHAPATNAM,NDLS,NEW DELHI
22416,NDLS-VSKP AC,21,VSKP,VISAKHAPATNA,17:50:00,17:50:00,2083,NDLS,NEW DELHI,VSKP,VISAKHAPATNAM
22501,SBC - NTSK S,12,VSKP,VISAKHAPATNA,22:45:00,23:05:00,1135,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),NTSK,NEW TINSUKIA JN
22502,NTSK - SBC S,29,VSKP,VISAKHAPATNA,15:30:00,15:50:00,2481,NTSK,NEW TINSUKIA JN,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
22603,KGP VM BI-WK,10,VSKP,VISAKHAPATNA,01:50:00,02:10:00,767,KGP,KHARAGPUR,VM,VILLUPURAM JN.
22604,VM-KGP BI-WK,11,VSKP,VISAKHAPATNA,06:15:00,06:35:00,1014,VM,VILLUPURAM JN.,KGP,KHARAGPUR
22605,PRR-VM WKLY,15,VSKP,VISAKHAPATNA,01:50:00,02:10:00,972,PRR,PURULIA JN.,VM,VILLUPURAM JN.
