Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
12338,SHANTINIKETA,4,HWH,HOWRAH JN.,15:40:00,15:40:00,146,BHP,BOLPUR,HWH,HOWRAH JN.
12339,COALFIELD EX,1,HWH,HOWRAH JN.,17:20:00,17:20:00,0,HWH,HOWRAH JN.,DHN,DHANBAD JN.
12340,COALFIELD EX,13,HWH,HOWRAH JN.,10:25:00,10:25:00,259,DHN,DHANBAD JN.,HWH,HOWRAH JN.
12341,AGNIVEENA EX,1,HWH,HOWRAH JN.,18:20:00,18:20:00,0,HWH,HOWRAH JN.,ASN,ASANSOL MAIN
12342,AGNIVEENA EX,7,HWH,HOWRAH JN.,08:45:00,08:45:00,200,ASN,ASANSOL MAIN,HWH,HOWRAH JN.
12345,SARAIGHAT EX,1,HWH,HOWRAH JN.,15:50:00,15:50:00,0,HWH,HOWRAH JN.,GHY,GUWAHATI
12346,SARAIGHAT EX,13,HWH,HOWRAH JN.,05:10:00,05:10:00,1023,GHY,GUWAHATI,HWH,HOWRAH JN.
12347,HWH RPH EXP,1,HWH,HOWRAH JN.,11:55:00,11:55:00,0,HWH,HOWRAH JN.,RPH,RAMPUR HAT
12348,RPH HWH EXP,9,HWH,HOWRAH JN.,20:15:00,20:15:00,206,RPH,RAMPUR HAT,HWH,HOWRAH JN.
12351,DANAPUR EXPR,1,HWH,HOWRAH JN.,20:35:00,20:35:00,0,HWH,HOWRAH JN.,RJPB,RAJENDRANAGAR TERMINAL
12352,DANAPUR EXP,23,HWH,HOWRAH JN.,06:35:00,06:35:00,529,RJPB,RAJENDRANAGAR TERMINAL,HWH,HOWRAH JN.
12353,HWH LKU EXP,1,HWH,HOWRAH JN.,08:15:00,08:15:00,0,HWH,HOWRAH JN.,LKU,LALKUA JN.
12354,LKU  HWH  EX,18,HWH,HOWRAH JN.,18:55:00,18:55:00,1300,LKU,LALKUA JN.,HWH,HOWRAH JN.
12369,KUMBHA EXPRE,1,HWH,HOWRAH JN.,13:00:00,13:00:00,0,HWH,HOWRAH JN.,HW,HARIDWAR JN
12370,HW HWH S F E,20,HWH,HOWRAH JN.,03:15:00,03:15:00,1526,HW,HARIDWAR JN,HWH,HOWRAH JN.
12371,HWH JSM SF E,1,HWH,HOWRAH JN.,08:15:00,08:15:00,0,HWH,HOWRAH JN.,JSM,JAISALMER
12372,JSM HWH SF E,29,HWH,HOWRAH JN.,16:30:00,16:30:00,2246,JSM,JAISALMER,HWH,HOWRAH JN.
12381,POORVA EXPRE,1,HWH,HOWRAH JN.,08:15:00,08:15:00,0,HWH,HOWRAH JN.,NDLS,NEW DELHI
12382,POORVA EXPRE,22,HWH,HOWRAH JN.,16:55:00,16:55:00,1439,NDLS,NEW DELHI,HWH,HOWRAH JN.
12503,BNC - KYQ HU,17,HWH,HOWRAH JN.,18:30:00,18:50:00,2015,BNC,BANGALORE CANTT.,KYQ,KAMAKHYA JN
12504,KYQ - BNC HU,7,HWH,HOWRAH JN.,12:20:00,12:40:00,1016,KYQ,KAMAKHYA JN,BNC,BANGALORE CANTT.
12507,TVC - SCL EX,37,HWH,HOWRAH JN.,13:55:00,14:25:00,2580,TVC,TRIVANDRUM CENTRAL,SCL,SILCHAR
12508,SCL - TVC EX,22,HWH,HOWRAH JN.,00:45:00,01:05:00,1352,SCL,SILCHAR,TVC,TRIVANDRUM CENTRAL
12509,SBC -GHY EXP,25,HWH,HOWRAH JN.,10:55:00,11:15:00,2020,BNC,BANGALORE CANTT.,GHY,GUWAHATI
12510,GHY-SBC EXP,18,HWH,HOWRAH JN.,00:45:00,01:05:00,972,GHY,GUWAHATI,BNC,BANGALORE CANTT.
12513,SC - GHY EXP,18,HWH,HOWRAH JN.,10:55:00,11:15:00,1591,SC,SECUNDERABAD JN.,GHY,GUWAHATI
12514,GHY - SC EXP,14,HWH,HOWRAH JN.,00:45:00,01:05:00,972,GHY,GUWAHATI,SC,SECUNDERABAD JN.
12515,TVC - SCL EX,36,HWH,HOWRAH JN.,10:55:00,11:15:00,2580,TVC,TRIVANDRUM CENTRAL,SCL,SILCHAR
12516,SCL -TVC EXP,22,HWH,HOWRAH JN.,00:45:00,01:05:00,1352,SCL,SILCHAR,TVC,TRIVANDRUM CENTRAL
12663,HWH-TPJ EXPR,1,HWH,HOWRAH JN.,16:10:00,16:10:00,0,HWH,HOWRAH JN.,TPJ,TIRUCHIRAPPALLI JN.
12664,TPJ-HWH EXP,24,HWH,HOWRAH JN.,03:10:00,03:10:00,2004,TPJ,TIRUCHIRAPPALLI JN.,HWH,HOWRAH JN.
12665,HWH-CAPE EXP,1,HWH,HOWRAH JN.,16:10:00,16:10:00,0,HWH,HOWRAH JN.,CAPE,KANNIYAKUMARI
12666,CAPE HWH EXP,32,HWH,HOWRAH JN.,03:10:00,03:10:00,2406,CAPE,KANNIYAKUMARI,HWH,HOWRAH JN.
12703,HWH-SC FALAK,1,HWH,HOWRAH JN.,00:00:00,07:25:00,0,HWH,HOWRAH JN.,SC,SECUNDERABAD JN.
12704,SC-HWH FALAK,27,HWH,HOWRAH JN.,17:45:00,17:45:00,1548,SC,SECUNDERABAD JN.,HWH,HOWRAH JN.
12809,CSMT HWH MAI,44,HWH,HOWRAH JN.,05:50:00,05:50:00,1972,CSMT,CST-MUMBAI,HWH,HOWRAH JN.
12810,HWH CSMT MAI,1,HWH,HOWRAH JN.,20:15:00,20:15:00,0,HWH,HOWRAH JN.,CSMT,CST-MUMBAI
12813,HWH-TATA STE,1,HWH,HOWRAH JN.,17:30:00,17:30:00,0,HWH,HOWRAH JN.,TATA,TATANAGAR JN
12814,TATA-HWH STE,9,HWH,HOWRAH JN.,10:20:00,10:20:00,253,TATA,TATANAGAR JN,HWH,HOWRAH JN.
12821,HWH-BBS-PURI,1,HWH,HOWRAH JN.,06:00:00,06:00:00,0,HWH,HOWRAH JN.,PURI,PURI
12822,PURI-BBS-HWH,16,HWH,HOWRAH JN.,20:15:00,20:15:00,503,PURI,PURI,HWH,HOWRAH JN.
12827,HWH PRR EXPR,1,HWH,HOWRAH JN.,16:50:00,16:50:00,0,HWH,HOWRAH JN.,PRR,PURULIA JN.
12828,PRR HWH EXPR,15,HWH,HOWRAH JN.,11:20:00,11:20:00,323,PRR,PURULIA JN.,HWH,HOWRAH JN.
12833,ADI -HOWRAH,63,HWH,HOWRAH JN.,13:30:00,13:30:00,2097,ADI,AHMEDABAD,HWH,HOWRAH JN.
12834,HOWRAH-AHMED,1,HWH,HOWRAH JN.,23:55:00,23:55:00,0,HWH,HOWRAH JN.,ADI,AHMEDABAD
12837,HOWRAH-PURI,1,HWH,HOWRAH JN.,22:35:00,22:35:00,0,HWH,HOWRAH JN.,PURI,PURI
12838,PURI-HWH EXP,14,HWH,HOWRAH JN.,04:50:00,04:50:00,503,PURI,PURI,HWH,HOWRAH JN.
