Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
15639,PURI - KYQ E,4,BBS,BHUBANESWAR,15:45:00,15:50:00,62,PURI,PURI,KYQ,KAMAKHYA JN
15640,KYQ - PURI E,23,BBS,BHUBANESWAR,01:00:00,01:05:00,1450,KYQ,KAMAKHYA JN,PURI,PURI
15643,PURI-KYQ EXP,3,BBS,BHUBANESWAR,23:30:00,23:35:00,62,PURI,PURI,KYQ,KAMAKHYA JN
15644,KYQ-PURI  EX,24,BBS,BHUBANESWAR,05:50:00,05:55:00,1485,KYQ,KAMAKHYA JN,PURI,PURI
15905,CAPE - DBRG,31,BBS,BHUBANESWAR,13:55:00,14:00:00,2169,CAPE,KANNIYAKUMARI,DBRG,DIBRUGARH
15906,DBRG - CAPE,27,BBS,BHUBANESWAR,17:20:00,17:25:00,2090,DBRG,DIBRUGARH,CAPE,KANNIYAKUMARI
15929,TBM-DBRG EXP,11,BBS,BHUBANESWAR,18:50:00,18:55:00,1252,TBM,TAMBARAM,DBRG,DIBRUGARH
15930,DBRG-TBM EXP,41,BBS,BHUBANESWAR,22:30:00,22:35:00,2101,DBRG,DIBRUGARH,TBM,TAMBARAM
17015,BBS-SC VISAK,1,BBS,BHUBANESWAR,08:30:00,08:30:00,0,BBS,BHUBANESWAR,SC,SECUNDERABAD JN.
17016,SC-BBS VISAK,41,BBS,BHUBANESWAR,15:40:00,15:40:00,1135,SC,SECUNDERABAD JN.,BBS,BHUBANESWAR
18047,HWH-VSGAMARA,7,BBS,BHUBANESWAR,05:50:00,05:55:00,442,HWH,HOWRAH JN.,VSG,VASCO-DA-GAMA
18048,VSG HWH AMAR,38,BBS,BHUBANESWAR,15:30:00,15:35:00,1684,VSG,VASCO-DA-GAMA,HWH,HOWRAH JN.
18117,ROU-GNPR RAJ,16,BBS,BHUBANESWAR,06:05:00,06:10:00,441,ROU,ROURKELA,GNPR,GUNUPUR
18118,GNPR-ROU RAJ,11,BBS,BHUBANESWAR,22:45:00,22:50:00,355,GNPR,GUNUPUR,ROU,ROURKELA
18303,SBP-PURI INT,14,BBS,BHUBANESWAR,11:05:00,11:10:00,277,SBP,SAMBALPUR JN.,PURI,PURI
18304,PURI-SBP INT,3,BBS,BHUBANESWAR,17:20:00,17:25:00,62,PURI,PURI,SBP,SAMBALPUR JN.
18405,PURI-ADI WEE,4,BBS,BHUBANESWAR,19:35:00,19:40:00,62,PURI,PURI,ADI,AHMEDABAD
18406,ADI-PURI WEE,37,BBS,BHUBANESWAR,06:30:00,06:35:00,1943,ADI,AHMEDABAD,PURI,PURI
18407,PURI-SNSI WE,3,BBS,BHUBANESWAR,00:05:00,00:10:00,62,PURI,PURI,SNSI,SAI NAGAR SHIRDI
